Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"Drivers updated ok but the BIOS update froze the system up and the computer shut down.","BIOS update",negative,Negative
"Drivers updated ok but the BIOS update froze the system up and the computer shut down.",system,negative,Negative
"Spent 2 hours on phone with HP Technical Support.","HP Technical Support",neutral,Negative
"Speaking of the browser, it too has problems.",browser,negative,Negative
"The keyboard is too slick.",keyboard,negative,Negative
"Nightly my computer defrags itself and runs a virus scan.","virus scan",neutral,Positive
"It's like 9 punds, but if you can look past it, it's GREAT!","9 punds",negative,Negative
"It's just as fast with one program open as it is with sixteen open.",program,neutral,Neutral
"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,Negative
"I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.","Toshiba Warranty",negative,Negative
"Amazing Quality!",Quality,positive,Positive
"The fact that you can spend over $100 on just a webcam underscores the value of this machine.",webcam,neutral,Positive
"The fact that you can spend over $100 on just a webcam underscores the value of this machine.",value,positive,Positive
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,Neutral
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).","managing personal files",neutral,Neutral
"A month or so ago, the freaking motherboard just died.",motherboard,negative,Negative
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,Negative
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",charger,negative,Negative
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",charger,negative,Negative
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",hardware,negative,Negative
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",hardware,negative,Negative
"If a website ever freezes (which is rare), its really easy to force quit.","force quit",positive,Positive
"It rarely works and when it does it's incredibly slow.",works,negative,Negative
"I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.","Windows 7",positive,Positive
"I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.","VMWare program",neutral,Neutral
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","operating system",positive,Positive
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,Positive
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,Positive
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","find files",positive,Positive
"Purchased a Toshiba Lap top it worked good until just after the warrenty went out.",warrenty,negative,Neutral
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.","extended warranty",neutral,Negative
"We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.",memory,neutral,Neutral
"We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.",speed,positive,Positive
"We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.",performace,positive,Positive
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.","opening my Documents folder",negative,Negative
"I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.","operating systems",negative,Negative
"Then, within 5 months, the charger crapped out on me.",charger,negative,Negative
"And if you have a iphone or ipod touch you can connect and download songs to it at high speed.",speed,positive,Positive
"I love the glass touchpad.","glass touchpad",positive,Positive
"I am using the external speaker- sound is good.","external speaker",positive,Positive
"I am using the external speaker- sound is good.",sound,positive,Positive
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","battery life",negative,Positive
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,Negative
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,Negative
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.","Mac software",positive,Positive
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.","Microsoft software",negative,Negative
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,Positive
"Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.",use,positive,Positive
"Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.",service,positive,Positive
"Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.","phone assistance",positive,Positive
"Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.","genius bar",positive,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","battery life",positive,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","battery life",positive,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","battery life",positive,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","battery life",positive,Positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,Neutral
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","movie playing",neutral,Neutral
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","web browsing",neutral,Neutral
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","word editing",neutral,Neutral
"Acer has set me up with FREE recovery discs, when they are available since I asked.","recovery discs",positive,Positive
"I eventually did the migration from my iMac backup disc which uses USB.","iMac backup disc",neutral,Neutral
"I eventually did the migration from my iMac backup disc which uses USB.",USB,neutral,Neutral
"The battery life seems to be very good, and have had no issues with it.","battery life",positive,Positive
"Enabling the battery timer is useless.","battery timer",negative,Negative
"Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.",Temperatures,neutral,Positive
"Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.","Core Processing Unit temperatures",neutral,Neutral
"Going to bring it to service today.",service,neutral,Neutral
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.","virus protection for Mac",positive,Positive
"But we had paid for bluetooth, and there was none.",bluetooth,negative,Negative
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.","LG notebook service center",neutral,Neutral
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,Negative
"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,Neutral
"It is always reliable, never bugged and responds well.",responds,positive,Positive
"After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.",motherboard,negative,Neutral
"After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.",motherboard,negative,Negative
"After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.",motherboard,neutral,Neutral
"After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.",motherboard,neutral,Negative
"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,Negative
"they had to replace the motherboard in April",motherboard,negative,Negative
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,Positive
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.","representive at Microsoft",negative,Negative
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,Negative
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,Positive
"I love WIndows 7 which is a vast improvment over Vista.","WIndows 7",positive,Positive
"I love WIndows 7 which is a vast improvment over Vista.",Vista,negative,Negative
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,Positive
"Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.","Dell's customer disservice",negative,Negative
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","cooling system",negative,Negative
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,Neutral
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.","quad core I7",positive,Positive
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.","sales associate",positive,Positive
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,Positive
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;","Windows applications",neutral,Neutral
"You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.","virus program",negative,Negative
"It weighed like seven pounds or something like that.",weighed,neutral,Negative
"It weighed like seven pounds or something like that.","seven pounds",neutral,Negative
"2 months later, the battery went.",battery,negative,Negative
"You may need to special order a bag.",bag,neutral,Neutral
"It's color is even cool.",color,positive,Positive
"keys are all in weird places and is way too large for the way it is designed.",keys,negative,Negative
"keys are all in weird places and is way too large for the way it is designed.",designed,negative,Negative
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,Positive
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,Positive
"The keyboard feels good and I type just fine on it.",keyboard,positive,Positive
"I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.",mousepad,neutral,Negative
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,Negative
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,Positive
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,Positive
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","DELL SUPPORT",positive,Negative
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","hard drive",neutral,Neutral
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,Neutral
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,Positive
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","construction quality",positive,Positive
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,Positive
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",cost,conflict,Negative
") I also tried the touch pad and compared it to other netbooks in the store.","touch pad",neutral,Neutral
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,Positive
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,Positive
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",pricetag,conflict,Positive
"lots of preloaded software.","preloaded software",positive,Positive
"I wish it had a webcam though, then it would be perfect!",webcam,negative,Negative
"My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.","vga port",positive,Positive
"My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.",screen,neutral,Positive
"Another thing I might add is the battery life is excellent.","battery life",positive,Positive
"One drawback, I wish the keys were backlit.",keys,negative,Negative
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,Positive
"I wish the volume could be louder and the mouse didnt break after only a month.",volume,negative,Negative
"I wish the volume could be louder and the mouse didnt break after only a month.",mouse,negative,Negative
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,Positive
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.","boots up",positive,Positive
"It caught a virus that completely wiped out my hard drive in a matter of hours.","hard drive",negative,Negative
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","look and feel standpoint",positive,Positive
"the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.",safari,negative,Negative
"the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.",safari,negative,Negative
"the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.",safari,negative,Negative
"the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.",safari,negative,Negative
"the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.","Mozzilla firfox",positive,Positive
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,Negative
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.","fingerprint reader driver",negative,Negative
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,Negative
"Great battery, speed, display.",battery,positive,Positive
"Great battery, speed, display.",speed,positive,Positive
"Great battery, speed, display.",display,positive,Positive
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,Positive
"I've been impressed with the battery life and the performance for such a small amount of memory.","battery life",positive,Positive
"I've been impressed with the battery life and the performance for such a small amount of memory.",performance,positive,Positive
"I've been impressed with the battery life and the performance for such a small amount of memory.",memory,negative,Neutral
"It's applications are terrific, including the replacements for Microsoft office.",applications,positive,Positive
"It's applications are terrific, including the replacements for Microsoft office.","Microsoft office",positive,Neutral
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,negative,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.","cooling system",negative,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.","graphics card",negative,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.","built-in webcam",negative,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.","built-in mic",negative,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,Negative
"Is this partially due to the fact that it is running Windows Vista?","Windows Vista",neutral,Negative
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,Neutral
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive,Positive
"Mostly I love the drag and drop feature.","drag and drop feature",positive,Positive
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,Negative
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.","sales tax",positive,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.","software packages",positive,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,positive,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,positive,Positive
"The screen is very large and crystal clear with amazing colors and resolution.",screen,positive,Positive
"The screen is very large and crystal clear with amazing colors and resolution.",colors,positive,Positive
"The screen is very large and crystal clear with amazing colors and resolution.",resolution,positive,Positive
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative,Negative
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,positive,Positive
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,negative,Neutral
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.","external monitor",neutral,Neutral
"Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.","base installation",negative,Negative
"Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.",software,negative,Negative
"It has no camera but, I can always buy and install one easy.",camera,conflict,Negative
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive,Positive
"The AMD Turin processor seems to always perform so much better than Intel.","AMD Turin processor",positive,Positive
"The AMD Turin processor seems to always perform so much better than Intel.",Intel,negative,Negative
"The start menu is not the easiest thing to navigate due to the stacking.","start menu",negative,Negative
"The start menu is not the easiest thing to navigate due to the stacking.",navigate,negative,Negative
"Only thing I would want to add to this is an internal bluray read/write drive.","bluray read/write drive",negative,Negative
"The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.","service tech",negative,Negative
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.","tech store",negative,Negative
"Really like the textured surface which shows no fingerprints.",surface,positive,Positive
"The screen is bright and the keyboard is nice;",screen,positive,Positive
"The screen is bright and the keyboard is nice;",keyboard,positive,Positive
"But the machine is awesome and iLife is great and I love Snow Leopard X.",iLife,positive,Positive
"But the machine is awesome and iLife is great and I love Snow Leopard X.","Snow Leopard X",positive,Positive
"High price tag, however.","price tag",negative,Negative
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.","Mac OS",positive,Positive
"I had static in the output, and I had to reduce the sound output quality to "FM" as opposed to the default "CD.","sound output quality",negative,Negative
"I custom ordered the machine from HP and could NOT understand the techie due to his accent.",techie,negative,Negative
"It is easy to use and lightweight.",use,positive,Positive
"I went to Toshiba online help and found some suggestions to fix it.","Toshiba online help",positive,Positive
"They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).","service life",positive,Positive
"If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.",ports,neutral,Negative
"If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.",processor,neutral,Neutral
"This laptop is a great price and has a sleek look.",price,positive,Positive
"This laptop is a great price and has a sleek look.",look,positive,Positive
"I especially like the keyboard which has chiclet type keys.",keyboard,positive,Positive
"I especially like the keyboard which has chiclet type keys.",keys,positive,Positive
"Small screen somewhat limiting but great for travel.",screen,conflict,Negative
"For the not so good, I got the stock screen - which is VERY glossy.","stock screen",negative,Negative
"The gray color was a good choice.","gray color",positive,Positive
"I would like to have volume buttons rather than the adjustment that is on the front.","volume buttons",negative,Negative
"The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.",processor,negative,Negative
"The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.",computing,negative,Negative
"I bought a protector for my key pad and it works great :)",protector,neutral,Positive
"I bought a protector for my key pad and it works great :)","key pad",positive,Neutral
"The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!","magnetic plug-in power charging power cord",positive,Positive
"It seems they could have updated XP and done without creating Vista.",XP,positive,Positive
"It seems they could have updated XP and done without creating Vista.",Vista,negative,Negative
"I like how the Mac OS is so simple and easy to use.","Mac OS",positive,Positive
"I like how the Mac OS is so simple and easy to use.",use,positive,Positive
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,positive,Positive
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.","Geek Squad",positive,Positive
"only good thing is the graphics quality.","graphics quality",positive,Positive
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,negative,Negative
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,negative,Negative
"The paint wears off easily due to the keyboard being farther back than usual.",paint,negative,Negative
"The paint wears off easily due to the keyboard being farther back than usual.",keyboard,negative,Negative
"I had purchased it from a major electronics store and took it to their service department to find out what the problem was.","service department",neutral,Neutral
"The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.",warrenty,positive,Positive
"The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.",warrentys,negative,Negative
"I always use a backup hard disk to store important files at all times.","hard disk",neutral,Neutral
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!","CD drive",negative,Negative
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,negative,Negative
"But the screen size is not that bad for email and web browsing.","screen size",positive,Positive
"But the screen size is not that bad for email and web browsing.","web browsing",neutral,Positive
"Once I removed all the software the laptop loads in 15-20 seconds.",software,negative,Negative
"Once I removed all the software the laptop loads in 15-20 seconds.",loads,neutral,Positive
"On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.",trackpad,negative,Negative
"On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.",trackpad,negative,Negative
"On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.","external mouse",neutral,Positive
"On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.",trackpad,negative,Negative
"On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.",trackpad,negative,Negative
"This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.",games,negative,Negative
"Obviously one of the most important features of any computer is the "human interface.",features,neutral,Positive
"Obviously one of the most important features of any computer is the "human interface.","human interface",neutral,Positive
"Yeah, of course smarty pants "fix it now")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).","inbuilt applications",negative,Negative
"Yeah, of course smarty pants "fix it now")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,negative,Negative
"The body is a bit cheaply made so it will be interesting to see how long it holds up.",body,negative,Negative
"The i5 blows my desktop out of the water when it comes to rendering videos.",i5,negative,Positive
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.","antivirus software",neutral,Positive
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",firewall,neutral,Positive
"Am very glad I bought it, great netbook, low price.",price,positive,Positive
"The Apple team also assists you very nicely when choosing which computer is right for you :)","Apple team",positive,Positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
