id,Sentence,Aspect Term,polarity,from,to
1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,110,113
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,31,56
2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,7,16
30,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,0,8
474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,0,26
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,9,23
2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,97,109
1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,50,65
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,29,35
2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,58,71
493,It weighed like seven pounds or something like that.,weighed,neutral,3,10
902,"2 months later, the battery went.",battery,negative,20,27
2433,You may need to special order a bag.,bag,neutral,32,35
1675,It's color is even cool.,color,positive,5,10
609,keys are all in weird places and is way too large for the way it is designed.,keys,negative,0,4
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,95,100
2335,The keyboard feels good and I type just fine on it.,keyboard,positive,4,12
2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,76,84
1471,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,62,69
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,26,31
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,133,143
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,58,63
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,71,79
2331,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,19,28
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,70,73
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,36,39
3006,lots of preloaded software.,preloaded software,positive,8,26
2941,"I wish it had a webcam though, then it would be perfect!",webcam,negative,16,22
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,51,59
1686,Another thing I might add is the battery life is excellent.,battery life,positive,33,45
2091,"One drawback, I wish the keys were backlit.",keys,negative,25,29
1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,200,208
2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,11,17
2574,"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,45,53
2351,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,100,108
526,It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,47,57
3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,46,70
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,61,67
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,4,13
1553,"Great battery, speed, display.",battery,positive,6,13
2874,"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,4,12
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,29,41
1654,"It's applications are terrific, including the replacements for Microsoft office.",applications,positive,5,17
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative,35,45
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,21,36
104,Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral,53,66
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,6,11
2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,115,123
2124,Mostly I love the drag and drop feature.,drag and drop feature,positive,18,39
260,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,26,32
1172,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive,46,55
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,positive,37,54
386,The screen is very large and crystal clear with amazing colors and resolution.,screen,positive,4,10
1357,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative,62,69
2605,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,positive,13,19
1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,negative,0,4
2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,negative,23,40
942,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,82,87
2740,"It has no camera but, I can always buy and install one easy.",camera,conflict,10,16
311,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive,4,11
13,The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,positive,4,23
1852,  After that the said it was under warranty.,warranty,neutral,35,43
2708,The start menu is not the easiest thing to navigate due to the stacking.,start menu,negative,4,14
1566,Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,negative,54,77
540,The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,negative,4,16
878,"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,negative,4,14
2388,Really like the textured surface which shows no fingerprints.,surface,positive,25,32
3074,The screen is bright and the keyboard is nice;,screen,positive,4,10
2534,But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,positive,31,36
2185,"High price tag, however.",price tag,negative,5,14
2632,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,positive,23,29
2675,"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,negative,52,72
392,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,negative,66,72
1551,It is easy to use and lightweight.,use,positive,14,17
2698,I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,positive,10,29
340,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,positive,24,36
2918,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,neutral,68,73
2939,This laptop is a great price and has a sleek look.,price,positive,23,28
1958,I especially like the keyboard which has chiclet type keys.,keyboard,positive,22,30
358,Small screen somewhat limiting but great for travel.,screen,conflict,6,12
1355,Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,negative,39,46
3021,"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,negative,31,43
2415,The gray color was a good choice.,gray color,positive,4,14
2696,I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,negative,21,35
2916,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,negative,4,13
4,I bought a protector for my key pad and it works great :),protector,neutral,11,20
2260,The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive,4,46
1376,It seems they could have updated XP and done without creating Vista.,XP,positive,33,35
936,"  It is easy to use, fast and has great graphics for the money.",graphics,positive,40,48
2323,I like how the Mac OS is so simple and easy to use.,Mac OS,positive,15,21
1804,"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,positive,97,104
1426,"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,positive,50,60
138,only good thing is the graphics quality.,graphics quality,positive,23,39
1192,"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,negative,101,111
1691,The paint wears off easily due to the keyboard being farther back than usual.,paint,negative,4,9
537,I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,neutral,71,89
541,The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,positive,24,32
3043,I always use a backup hard disk to store important files at all times.,hard disk,neutral,22,31
505,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive,negative,169,177
569,But the screen size is not that bad for email and web browsing.,screen size,positive,8,19
3081,Once I removed all the software the laptop loads in 15-20 seconds.,software,negative,23,31
308,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,negative,41,49
2796,This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,negative,48,53
2333,"Obviously one of the most important features of any computer is the ""human interface.",features,neutral,36,44
3049,"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",inbuilt applications,negative,98,118
2660,The body is a bit cheaply made so it will be interesting to see how long it holds up.,body,negative,4,8
206,The i5 blows my desktop out of the water when it comes to rendering videos.,i5,negative,4,6
2138,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software,neutral,41,59
2392,"Am very glad I bought it, great netbook, low price.",price,positive,45,50
9,The Apple team also assists you very nicely when choosing which computer is right for you :),Apple team,positive,4,14
1867,"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,50,55
2377,The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,video chat,negative,4,14
2928,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,positive,153,158
2811,"Fan vents to the side, so no cooling pad needed, great feature!",Fan,positive,0,3
2137,"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,positive,38,46
1256,Wasted me at least 8 hours of installation time.,installation time,negative,30,47
1770,"It has far exceeded my expectations for power, storage, and abilitiy.",power,positive,40,45
2270,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,positive,23,39
1424,My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,wireless system,negative,3,18
2843,I am enjoying it and the quality it provides is great!,quality,positive,25,32
2471,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",battery life,positive,63,75
2550,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,positive,4,6
455,"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",iTunes,positive,0,6
2496,Mac is not made for gaming.,gaming,negative,20,26
1089,"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",battery,negative,92,99
713,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",Apple support,positive,17,30
490,But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,negative,55,75
2422,I need graphic power to run my Adobe Creative apps efficiently.,graphic power,neutral,7,20
2540,the programs are esay to use and are quick to process this computer works like a charm.,programs,positive,4,12
2018,The materials that came with the computer did not include the right # anywhere.,materials,negative,4,13
2022,It does not even have the software to play a dvd now.,software,negative,26,34
1191,Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,Tech support,positive,0,12
777,HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,negative,13,25
2775,Sells for the same as a netbook without sacrificing size.,size,positive,52,56
1844,"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,neutral,88,96
1989,"Windows XP SP2 caused many problems on the computer, so I had to remove it.",Windows XP SP2,negative,0,14
1068,"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Windows 7 Ultimate,negative,16,34
2030,None of the techs at HP knew what they were doing.,techs at HP,negative,12,23
128,"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.",video card,negative,48,58
1561,"With awesome graphics and assuring security, it's perfect!",graphics,positive,13,21
1890,"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.",audio,negative,57,62
2435,I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard,negative,44,52
2166,It runs perfectly.,runs,positive,3,7
2969,The laptop was very easy to set up.,set up,positive,28,34
824,  Sometimes the screen even goes black on this computer.,screen,negative,16,22
2754,I recommend for word processing and internet users.,word processing,positive,16,31
309,Since I've had this computer I've only used the trackpad because it is so nice and smooth.,trackpad,positive,48,56
16,A longer battery life would have been great - but it meets it's spec quite easily.,battery life,conflict,9,21
1984,"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",HD,positive,44,46
2943,Its fast and another thing I like is that it has three USB ports.,USB ports,positive,55,64
1839,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,negative,121,129
1375,That system is fixed.,system,neutral,5,11
899,"The computer itself was fast, ran smoothly, and had no problems.",ran,positive,30,33
2858,Like the price and operation.,price,positive,9,14
1338,The brand is tarnished in my heart.,brand,negative,4,9
2962,"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",components,negative,63,73
2110,I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.,warranty,neutral,86,94
35,"Once open, the leading edge is razor sharp.",leading edge,negative,15,27
1041,Loaded with bloatware.,bloatware,neutral,12,21
1040,Maximum sound isn't nearly as loud as it should be.,Maximum sound,negative,0,13
379,I loaded windows 7 via Bootcamp and it works flawlessly!,windows 7,positive,9,18
1757,"Great Laptop for the price, works well with action pack games.",price,positive,21,26
220,"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,negative,13,18
2919,I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,performance,negative,70,81
698,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,positive,30,42
1336,So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,after sales support,negative,61,80
146,I hate the display screen and I have done everything I could do the change it.,display screen,negative,11,25
1969,I also like the acer arcade but these were reallythe only two things I liked about this laptop.,acer arcade,positive,16,27
2549,"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",customer support,positive,24,40
469,"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",screen,negative,50,56
2974,It runs very quiet too which is a plus.,runs,positive,3,7
835,but it  has a major design flaw.,design,negative,20,26
1962,"It was heavy,bulky, and hard to carry because of the size.",size,negative,53,57
2876,The games included are very good games.,games,neutral,4,9
2141,"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",life,positive,63,67
2034,I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,warranty,negative,101,109
2669,Sometimes you really have to tap the pad to get it to worki,pad,negative,37,40
2895,It's super fast and a great value for the price!,value,positive,28,33
2181,"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",system performance,negative,98,116
1529,A mac is very easy to use and it simply makes sense.,use,positive,22,25
1752,"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",batteries,neutral,56,65
695,It is so much easier to use,use,positive,24,27
2291,There is no need to open a program first and the cliick open or import.,program,positive,27,34
2481,It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.,virus protection,positive,96,112
1893,"Three weeks after I bought the netbook, the screen quit working.",screen,negative,44,50
2649,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",processor,positive,4,13
3072,I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,Intel Core processors,neutral,34,55
1196,"The Apple will run Internet Explorer, but at an amazingly slow rate.",Internet Explorer,conflict,19,36
761,"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",staff,negative,98,103
2096,"The price premium is a little much, but when you start looking at the features it is worth the added cash.",price premium,negative,4,17
714,I can't say enough of how satisfied I am with their product and help aftermarket.,product and help aftermarket,positive,52,80
1973,Microsoft word was not on it andI had to buy it seperately.,Microsoft word,negative,0,14
2304,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",usb ports,neutral,9,18
2276,"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",LaCie 2Big external drive,neutral,12,37
1953,"My Toshiba did not have sound on everything, just certain things.",sound,negative,24,29
2755,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",extra features,positive,64,78
744,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,negative,35,46
1963,The battery life was shorter than expected.,battery life,negative,4,16
70,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up,positive,3,11
151,The keyboard is top notch.,keyboard,positive,4,12
1734,It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,negative,134,142
1617,The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,positive,4,26
1476,"The image is great, and the soud is excelent.",image,positive,4,9
1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,negative,70,77
451,It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS,positive,83,89
2956,"It is well worth the money it cost, Very good investment.",cost,positive,30,34
720,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter,neutral,15,32
740,This computer had exactly the specifications I needed.,specifications,positive,30,44
2564,My kids (and dogs) destroyed two power cords by pulling on them.,power cords,neutral,33,44
3016,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,positive,131,151
2778,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,negative,4,10
2174,"Not to mention, the battery life is absolutely amazing.",battery life,positive,20,32
1378,Windows also shuts the computer down for no reason without warning.,Windows,negative,0,7
2999,not using wired lan not sure what thats about.,wired lan,neutral,10,19
222,The macbook rarely requires a hard reboot.,hard reboot,conflict,30,41
1189,Now for the hardware problems.,hardware,negative,12,20
2070,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,negative,123,133
2076,It's fast and has excellent battery life.,battery life,positive,28,40
612,Apple care included.,Apple care,neutral,0,10
2706,Features like the font are very block-like and old school.,font,negative,18,22
2954,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs,negative,18,26
1874,"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",plastic pieces,negative,74,88
1546,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,neutral,39,52
2003,Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows,negative,0,7
1180,"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",Microsoft Word for Mac,neutral,180,202
809,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,negative,51,67
