Sentence,Aspects (Term:Polarity)
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,None
but now i have realized its a problem with this brand.,None
I sent it back to Toshiba twice they covered it under the warranty.,None
I was looking for a mac which is portable and has all the features that I was looking for.,None
Also kinda loud when the fan was running.,None
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","service:neutral, price:neutral"
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,None
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,None
Spent 2 hours on phone with HP Technical Support.,"service:neutral, service:neutral"
"Speaking of the browser, it too has problems.",None
The keyboard is too slick.,None
Nightly my computer defrags itself and runs a virus scan.,None
"It's like 9 punds, but if you can look past it, it's GREAT!",None
It's just as fast with one program open as it is with sixteen open.,performance:neutral
"Still under warrenty so called Toshiba, no help at all.",None
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,service:neutral
Amazing Quality!,None
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,None
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",None
"A month or so ago, the freaking motherboard just died.",None
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",None
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,battery:neutral
"If a website ever freezes (which is rare), its really easy to force quit.",None
It rarely works and when it does it's incredibly slow.,"quality:neutral, performance:neutral"
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,quality:neutral
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",performance:neutral
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,quality:positive
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",None
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performance:neutral
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",None
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,"quality:negative, GUI:negative"
"Then, within 5 months, the charger crapped out on me.",battery:neutral
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,"quality:neutral, performance:neutral"
I love the glass touchpad.,None
Â I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,None
I am using the external speaker- sound is good.,quality:positive
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery:neutral
"Then HP sends it back to me with the hardware screwed up, not able to connect.",None
"Oh yeah, don't forget the expensive shipping to and from HP.",price:neutral
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",None
"And if you do a lot of writing, editing is a problem since there is no forward delete key.",None
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,None
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery:neutral
"Acer has set me up with FREE recovery discs, when they are available since I asked.",None
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.",None
I eventually did the migration from my iMac backup disc which uses USB.,None
"The battery life seems to be very good, and have had no issues with it.","battery:positive, quality:positive"
Enabling the battery timer is useless.,None
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,None
Going to bring it to service today.,None
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",None
"But we had paid for bluetooth, and there was none.",None
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",service:neutral
"My daughter uses it for games, email, facebook, pictures and music.",None
"It is always reliable, never bugged and responds well.",None
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,None
"It was slow, locked up, and also had hardware replaced after only 2 months!","quality:neutral, performance:neutral"
they had to replace the motherboard in April,None
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",price:neutral
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.","battery:negative, GUI:negative"
I love WIndows 7 which is a vast improvment over Vista.,None
"Keyboard is great, very quiet for all the typing that I do.",None
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,quality:positive
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",None
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",None
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",None
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",None
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,None
It weighed like seven pounds or something like that.,None
"2 months later, the battery went.",None
You may need to special order a bag.,None
It's color is even cool.,None
keys are all in weird places and is way too large for the way it is designed.,GUI:neutral
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",performance:neutral
The keyboard feels good and I type just fine on it.,quality:positive
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,None
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.","battery:neutral, quality:neutral, performance:neutral"
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","service:neutral, service:neutral"
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",None
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","performance:neutral, price:neutral"
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",None
) I also tried the touch pad and compared it to other netbooks in the store.,None
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",price:neutral
"Â It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",None
lots of preloaded software.,None
"I wish it had a webcam though, then it would be perfect!",None
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,None
Another thing I might add is the battery life is excellent.,battery:positive
"One drawback, I wish the keys were backlit.",None
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",None
I wish the volume could be louder and the mouse didnt break after only a month.,None
"I play a lot of casual games online, and the touchpad is very responsive.",None
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",None
It caught a virus that completely wiped out my hard drive in a matter of hours.,None
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",None
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,None
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",None
"Great battery, speed, display.",performance:positive
"The delivery was fast, and I would not hesitate to purchase this laptop again.",performance:neutral
I've been impressed with the battery life and the performance for such a small amount of memory.,battery:neutral
"It's applications are terrific, including the replacements for Microsoft office.",None
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",None
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",None
Is this partially due to the fact that it is running Windows Vista?,None
Â The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,None
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!","quality:neutral, performance:neutral"
Mostly I love the drag and drop feature.,None
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",None
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",None
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",None
The screen is very large and crystal clear with amazing colors and resolution.,None
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",None
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",None
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",None
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,None
Â Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,None
"It has no camera but, I can always buy and install one easy.",None
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",None
The AMD Turin processor seems to always perform so much better than Intel.,None
Â After that the said it was under warranty.,None
The start menu is not the easiest thing to navigate due to the stacking.,None
Only thing I would want to add to this is an internal bluray read/write drive.,None
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service:neutral
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.","service:neutral, service:neutral"
Really like the textured surface which shows no fingerprints.,None
The screen is bright and the keyboard is nice;,None
But the machine is awesome and iLife is great and I love Snow Leopard X.,battery:positive
"High price tag, however.",quality:neutral
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",None
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",None
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,service:neutral
It is easy to use and lightweight.,None
I went to Toshiba online help and found some suggestions to fix it.,None
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,battery:neutral
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,None
This laptop is a great price and has a sleek look.,None
I especially like the keyboard which has chiclet type keys.,None
Small screen somewhat limiting but great for travel.,None
Runs Hot I thought we were paying for quality in our decision to buy an Apple product.,None
"For the not so good, I got the stock screen - which is VERY glossy.",quality:positive
The gray color was a good choice.,quality:positive
I would like to have volume buttons rather than the adjustment that is on the front.,None
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,None
I bought a protector for my key pad and it works great :),None
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,"battery:positive, battery:positive"
It seems they could have updated XP and done without creating Vista.,None
"Â It is easy to use, fast and has great graphics for the money.",performance:positive
I like how the Mac OS is so simple and easy to use.,None
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",service:positive
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",None
only good thing is the graphics quality.,quality:positive
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",None
The paint wears off easily due to the keyboard being farther back than usual.,None
I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,None
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,None
I always use a backup hard disk to store important files at all times.,None
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",None
But the screen size is not that bad for email and web browsing.,None
Once I removed all the software the laptop loads in 15-20 seconds.,None
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,None
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,None
"Obviously one of the most important features of any computer is the ""human interface.",GUI:neutral
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",None
The body is a bit cheaply made so it will be interesting to see how long it holds up.,price:neutral
The i5 blows my desktop out of the water when it comes to rendering videos.,quality:neutral
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",None
"Am very glad I bought it, great netbook, low price.",quality:positive
The Apple team also assists you very nicely when choosing which computer is right for you :),None
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",None
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,None
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,price:neutral
"Fan vents to the side, so no cooling pad needed, great feature!",None
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",None
Wasted me at least 8 hours of installation time.,None
"It has far exceeded my expectations for power, storage, and abilitiy.",None
