id,publish_date,title,Text,central body,political figure,affiliate,Mishka Stance
9df37ccdf7a42cb3161e67e86e869cacc25be67377d279e9ee929578bf0c63c5,2023-12-08,Assembly elections 2023: How BJP turned Congress’ playbook against it,"Published : Dec 08, 2023 19:02 IST - 6 MINS READ On the face of it, the Congress can console itself that it broke new ground and won Telangana and that the five Assembly contests garnered it more votes overall than it did for the BJP. The Congress got 9.5 lakh more votes in its total of 4,90,77,907 votes as against the 4,81,33,463 won by the BJP. But the Congress won one State that has 17 Lok Sabha seats while the BJP won three States that, between them, have 65 Lok Sabha seats. Although Assembly seats do not automatically translate into Lok Sabha seats, they do help maintain control over government and the bureaucracy. Since the trick of electoral politics is to best the closest rival even if they have a healthy vote share, for the BJP this is a superb result that showcases its mastery over the first-past-the-post system in the Hindi heartland. Also Read | BJP secures dominant 3-2 victory in Assembly elections, amplifies Congress’ 2024 challenges In the case of the Congress, the loss of three States (in two of which it lost sitting governments) is all the more galling as the party had actually created a",,,bjp,anti
6807252ef2c1eb476620e8c15116208425880aad68dba2e8aac862d25077c06e,2024-10-30,Don’t be Fooled by Haryana: Politics is Unclear And Economic Stress is Palpable,"This comfortable consensus got a rude shock four months later in Haryana. Once again, against the run of play and exit pollsters, a resurgent Congress, projected to win a two-thirds majority, crumbled at the finish line. The wisdom of the first hindsight now collided with the wisdom of the second hindsight. Which one was the aberration? The wisdom which thought that ennui and distress had dethroned Modi’s BJP in June? Or the wisdom which proclaimed that Modi’s BJP had gotten its mojo back in Haryana, proving that the Lok Sabha erosion was just a momentary setback? Frankly, the Haryana outcome is squarely in the grey. After getting walloped 1-9 and 0-10 in two successive general elections of 2014 and 2019, the Congress came back strongly in 2024 to level 5-5 with BJP. It gained an unbelievable swing of 18.75 percentage points, while BJP lost 11.91 percentage points out of its nearly 58 percent vote share in 2019, putting the two contenders at roughly 47 percent apiece in vote share, with the Congress’s nose a tad ahead.",,narendra modi,bjp,neutral
06c78862a1caf7d5575d33dd8409924c3cf05fb0844ae8d0662f76a2d1aaf489,2024-06-17,"Opinion: After 0/40 score in Lok Sabha Exam, AIADMK skips Vikravandi bypoll Test","The AIADMK ego is bruised after failing to open its account in the Lok Sabha elections in Tamil Nadu. Worse, the NDA secured the 2nd position in 12 constituencies, pushing the AIADMK to 3rd spot. Even more humiliating was the verdict from Kanyakumari and Puducherry, where even Seeman's NTK overtook the AIADMK, pushing it to fourth place. The immediate fallout of the 0/40 score is that the AIADMK has decided not to contest the byelection to the Vikravandi assembly constituency on July 10. The seat had become vacant after DMK legislator N Pugazhendhi's demise due to illness in April. The official reason cited by AIADMK supremo Edappadi Palaniswami is that the election won't take place in a “free and fair manner”. He alleged that the ruling party would misuse state machinery and “commit atrocities and irregularities, using money and muscle power”. He said the party had based its decision on the experience in the Erode (East) assembly bypoll in 2023 where he claimed voters had been bribed. To make it seem that he was taking a leaf from his late leader J Jayalalithaa's book, EPS pointed out how she had boycotted bypolls in constituencies like Cumbam and Bargoor in 2009",,"edappadi palaniswami, j jayalalithaa",nda,anti
31657d2516234744c31e487d3854ac1945d3ccd468e80c250d79533ec37bc2c8,2024-06-12,"An Anischit Kaal Awaits, Not Just the BJP, but Also the Opposition","A few months ahead of the Lok Sabha elections, India’s political opposition — the INDIA bloc — appeared battered, bruised, and ready to implode, lacking a clear, cohesive national-level strategy to counter the Bharatiya Janata Party (BJP). Mixed manifesto announcements were being made one after the other to seduce different vulnerable groups in the electorate, while there seemed no clear national leader or voice to take on Narendra Modi, who made this election all about 'Brand Modi'. But, as the verdict showed, the INDIA bloc, i.e., the Congress party plus its allies, against all of the odds, won an impressive 234 seats.",,narendra modi,bjp,neutral
ac711c06192dd4f0c1543148d4f4919762e0c120706521ac01192e5962d9b23e,2021-05-03,Second decisive shift,"On paper in Assam, the Congress had identified the electorate’s pain points well enough. Its manifesto promised non-implementation of the Citizenship (Amendment) Act (CAA), three million jobs in a State historically struggling with unemployment numbers, raising the daily wage of tea garden workers, free electricity up to 200 units per household and ₹2,000 monthly income support to all homemakers. An emphatic no to the CAA was meant to win back the ethnic Assamese vote that had decisively shifted to the BJP over the course of the 2014 general election and the State poll two years later. The wage sop intended to court what was once an assured party vote bank that years of silent work by the RSS and its affiliates had chipped away. A tie-up with the All India United Democratic Front (AIUDF) of Badruddin Ajmal, a prospect which the party had officially shied away from all these years, was aimed at ensuring non-fragmentation of the ‘Muslim vote’. And yet, the whole isn’t quite the same as the sum of its parts. The 10-party ‘Grand Alliance’ is only projected to win around 40 seats as the BJP-led NDA seems set to romp home a second time with a victory",,badruddin ajmal,"bjp, rss, nda",neutral
a2bef284dd35e36f3ac71d7dd19041b1fd2985506007b0f7acc8dfebcdde4d1e,2021-04-04,"Sunday View: The Best Weekend Opinion Reads, Curated Just For You","“The Madhya Pradesh chief minister, Shivraj Singh Chouhan, seems to have suddenly turned into a darling of the current Bharatiya Janata Party regime”, writes the Editorial Board of The Telegraph. From a known LK Advani loyalist, Chouhan now is seen as one of the most preferred CMs of the party leadership, and is competing with the Uttar Pradesh CM, Yogi Adityanath, in terms of canvassing for the party in the ongoing polls in five states, notes the Editorial Board.",,"shivraj singh chouhan, yogi adityanath, lk advani",bjp,neutral
7b8ebe288b14fbf1fa2695182c63a3c3c4c38b54db3437b6bf6bdb6d9fc30971,2024-06-07,In Defence of Mayawati,"In her 5 June statement, Mayawati once again reiterated that the BSP is not just a political party, It is a movement. It was forged from an extraordinary outreach, never seen before or since, by Kanshi Ram saheb. In the era of brutal caste massacres, overt endemic caste violence, and exclusion, he crisscrossed India, from urban centres to deep rural pockets. The BSP was the culmination of over a decade of groundwork and incredible sacrifices, made away from the public gaze, by tens of thousands of members of BAMCEF, DSSS and affiliated activists, workers, and cadre. At the centre of this political experiment was the idea that winning power via elections was the ultimate aim since ""power is the master key"" that opened all locks, real and proverbial, that kept the Bahujan Samaj in servitude. Getting that master key by any means (except violence) is the political philosophy of the BSP. This must be kept in mind when one looks at the BSP’s alliance strategies historically. It allied repeatedly with the BJP in the 1990s, despite the latter’s Brahmanical core, Ram Mandir movement, and opposition to Mandal Commission reforms. No one in the BSP thought that the BJP was a",,,"bjp, ram mandir movement",neutral
50619dfcec53483da01f76d716105dcef0d37ff1acaacbb69200ed65128b03fd,2024-06-06,How Modi Lost While Winning,"This article was first published 1 year ago For the first time in his political career, he failed to carry his party to even a working majority -- and again, for the first time in his career, he finds himself in a situation where he cannot rule by dictatorial fiat, points out Prem Panicker. IMAGE: Narendra D Modi greets supporters as he arrives at the Bharatiya Janata Party headquarters in New Delhi, June 4, 2024. Photograph: ANI Photo In elections, as in any other form of contest, a 'moral victory' is recorded in the fine print of history's footnotes while the narrative proper concerns itself with who won, and who lost. In historical records that future generations will read, the outcome of the 2024 general election to form the 18th Lok Sabha will be recorded thus: The National Democratic Alliance, led by the Bharatiya Janata Party, won a historic mandate for a third consecutive term in office. That is how it should be -- that is ineluctable fact, and facts admit of no buts and if-onlys. So why is it that it is the losing Opposition alliance that seems buoyant and hopeful, and the winning NDA alliance and its multitude",,narendra modi,"nda, bjp",neutral
f26b58bee9aeb950d1aec38d82e02d9fe149067a3619f54d817def06a9bbe224,2020-05-30,"Not vikas, Modi’s 2019 election was built on politics of vishwas","The overturning of historical empirical patterns on elections is straightforwardly associated with the centralisation of political power in the Modi government. This centralisation, and the extraordinary level of support for Narendra Modi and the BJP, is a natural outcome of the politics of vishwas. This is a form of personal politics in which voters prefer to centralise political power in a strong leader, and trust the leader to make good decisions for the polity – in contrast to the standard models of democratic accountability and issue-based politics, which place power in the hands of citizenry. The explicit inclusion of vishwas (trust/belief) in the slogan is telling. It is an understanding of politics that is based on the personal popularity of Modi, and the trust that voters have placed in him. One can juxtapose this trust-based conception of politics against one of ‘democratic accountability,’ wherein voters place well-defined demands on the elected representative and support him/ her based on the fulfilment of these demands. I call this accountability-based model the politics of vikas (development) because it is common to claim that politicians and leaders are judged on economic delivery. In contrast to this view of accountability-based voter behaviour in India, I",central government,narendra modi,bjp,anti
efe5f69c39ede3f0d017743e0d61e17f35ac22acb254f31299c91bbab2875bab,2024-03-20,BJP's TN Gameplan: Knock AIADMK Out Of The Ring,"This article was first published 1 year ago The BJP game-plan: Take the top slot, or a close second, either for the 'Lotus' or the larger NDA, if it can and push the AIADMK to the third place, explains N Sathiya Moorthy. IMAGE: Bharatiya Janata Party supremo Narendra Modi at an election meeting along with Tamil Nadu BJP chief K Annamalai, Pattali Makkal Katchi party founder Dr S Ramadoss, Union Minister L Murugan, TMC MP G K Vasan, former Tamil Nadu chief minister O Panneerselvam and other politicians in Salem, March 19, 2024. Photograph: ANI Photo For the Vanniar-strong Pattali Makkal Katchi with a committed five per cent vote-share since its inception way back in 1991 -- a rarity for a sub-regional party in Dravidian Tamil Nadu -- finalising the poll-pact with the ruling Bharatiya Janata Party at the Centre was a brain-racking affair by itself. But the worse may be yet to come, as the father-son leadership duo of PMK founder S Ramadoss and party president Anbumani Ramadoss may find it even more difficult to keep their flock together and ensure that they deliver the votes to the alliance as a whole -- and even more importantly, retain their",central government,"narendra modi, k annamalai, l murugan, o panneerselvam","bjp, nda, pattali makkal katchi",neutral
41c3031fb94d414f17a8a7663784723de88f4cdf2e9b2ea7ffb03fabc7617328,2024-05-05,Girish Kuber writes: Why Maharashtra worries the BJP,"If numbers tell a story, Maharashtra’s political landscape has thrown up an exciting one. Since the elections were announced, Prime Minister Narendra Modi has made a dozen visits to the state, and will likely make another half a dozen, if not more, till May 20 — the fifth and the last phase of polling in Maharashtra. Add to this an equal number of visits in the 12 months leading up to the election announcement. Yet, as the state’s third phase polling gets underway on May 7, Maharashtra remains as enigmatic as ever for the BJP. The gravity of the challenge in Maharashtra this time can be understood if seen in the light of the number of rallies — five — that the PM addressed in Maharashtra during the 2019 Lok Sabha elections. There seems to be such nervousness in the BJP that the PM, in a rare instance, has presented himself twice in one district. All these facts hint at one thing: The BJP leadership’s belief that the state could turn out to be its Achilles’ heel and that it is too important to be left for the local hotchpotch alliance to manage. This has resulted in the PM and",,narendra modi,bjp,pro
401eb2db96a21e431db062036a5817da5944f5e163c2f376588738f1a74a195e,2020-02-11,Arvind Kejriwal’s campaign does the trick for AAP,"In the end, Shaheen Bagh could not swing the Delhi Assembly elections for the BJP. Chief Minister Arvind Kejriwal and his campaign stressing the many achievements of his government did the trick for the Aam Aadmi Party (AAP). The loss in Delhi is a setback for Home Minister Amit Shah , who made it his mission to ensure that Mr. Kejriwal was denied a third term in office. Union Minister of State for Finance Anurag Thakur was banned from campaigning for 72 hours for raising the slogan of “death to traitors” on January 30, while he was earlier removed from the list of the BJP’s star campaigners. Mr. Shah repeatedly said Delhi’s voters should press the “lotus” button on the electronic voting machine so that the “current” was felt in Shaheen Bagh, where thousands of people are peacefully protesting against the CAA-NRC-NPR regime. Mr. Shah personally addressed 52 public meetings , road shows and street corner meetings, U.P. Chief Minister Yogi Adityanath addressed 12 public meetings in Delhi and Prime Minister Narendra Modi spoke at three public meetings, including one on Ramlila grounds. At one time, it appeared that the firing incidents in Jamia and the entry of masked hoodlums","ministry of finance, ministry of home affairs","amit shah, anurag thakur, yogi adityanath, narendra modi",bjp,neutral
970ece2512f576cdd91b572d8fb14fd2693668f88ed09899fa43a2449d666186,2024-06-09,"Salaam, Indian voters!","Published : Jun 09, 2024 13:36 IST - 6 MINS READ So much has already been said about the political outcome of Election 2024 in TV studios, newspaper columns, and stock markets and in conversations at homes, offices, and public spaces that it may seem that there is little to add. Yet, this election was so different from all previous elections, except the post-Emergency election of March 1977, that analysts, commentators, and historians will continue to discuss it for a long time to come. In 1977, the Emergency loomed large over the election, and one just did not know what the outcome would be. Therefore, the stunning defeat of Indira Gandhi’s party resulted in spontaneous jubilation. For the 2024 election, the spread of communal hatred, fear of intimidation, and pervasive state surveillance generated by the regime for its decade-long rule formed the context. From the hour the last EVM was sealed, exit polls on TV got busy in doling out the spectre of the return of an autocratic regime with unchecked power. But as the morning of June 4 progressed, and the election results started coming in, many voters heaved a sigh of relief, reminiscent of the 1977 results. Neither",,indira gandhi,,anti
7ef3bd23ad00581bacce558682290272f5e1a085271714198b19662a4824b060,2023-08-10,The calculus behind political neutrality,"What is the strategy of unaligned parties for the 2024 general election? While the “INDIA” alliance (or the Indian National Developmental Inclusive Alliance) has grabbed the headlines, the neutral camp that is sandwiched within the two big coalitions, subject to various push and pulls, provides an interesting portal to contemporary national politics. The neutral parties There are three major parties in this camp: the Biju Janata Dal (BJD), the Yuvajana Sramika Rythu Congress Party (YSRCP) and the Bharat Rashtra Samithi (BRS, earlier known as the Telangana Rashtra Samithi, or the TRS). The Bahujan Samaj Party is left out of the present analysis. These parties had racked up a combined 43 seats in 2019 (22 seats for the YSRCP, nine seats for the TRS, and 12 seats for the BJD), making this camp a crucial arbitrator of national fortunes. All three parties have largely followed the equidistant route since 2014 (except the TRS for a few years, although it seems back in the camp). We can make two broad comments on the stance of these neutral parties — both explain how these parties have a symbiotic relationship with the Bharatiya Janata Party (BJP) at the Centre. The first deals with a",central government,,bjp,neutral
fff8ad8570ff82ec9c67289663b4f39a311a3188518e0c12287108918404e13c,2023-02-20,Jana Sena's 2024 poll game plan will prove Pawan Kalyan’s political prowess,"Recently, ‘Power Star’ Pawan Kalyan announced that his Jana Sena Party (JSP) would contest seven to 14 Assembly seats in the 2024 Telangana elections and reiterated that he had the support of the BJP. However, he also asserted that Jana Sena’s role in Telangana politics would be limited given that his party plays a much stronger role in Andhra Pradesh (AP). Right now, the JSP is in alliance with the BJP in AP and Telangana, but the turning point for JSP would be if Pawan Kalyan decides to form an alliance with the Telugu Desam Party (TDP), led by N Chandrababu Naidu, ahead of the polls. The BJP, however, is clear that they do not want to partner with the TDP, which leaves the JSP in a fix. advertisement “The JSP will do whatever it promises, unlike the YSR Congress Party (YSRCP), which is being friendly with the Central government, but has apparently failed in getting what is legitimately due to Andhra Pradesh post-bifurcation. Jana Sena will do whatever it says, irrespective of who is its alliance partner,” Pawan Kalyan told media on January 25 at the time of conducting a pooja at the Kondagattu Sri Anjaneyaswamy temple for his",central government,,"jsp, bjp, tdp",neutral
cb295011fcb058a6b40dda55e1fec102063b9d494c48f09bec4831bd59e7fbe6,2018-07-26,Four years of Narendra Modi have not just failed India’s middle class but also the RSS,"But one of the government’s biggest, but least debated failures, is its inability to fulfil the aspirations of its ideological parent, the Rashtriya Swayamsewak Sangh (RSS). The organisation lent enormous support to the BJP before the 2014 Lok Sabha elections, not just to ensure a political victory for the party but also for itself to be strengthened. The unhappiness of traders, farmers, minorities, Dalits and the unemployed with Prime Minister Narendra Modi’s government and the Bharatiya Janata Party (BJP) president Amit Shah, have been discussed widely. The disappointment of the RSS goes beyond Article 370, Uniform Civil Code, Ram Mandir or the differences in economic policy, over which the RSS leaders have criticised BJP’s decisions several times. The real problem between the BJP and RSS is much deeper. When the BJP came to power in 2014 on the agenda of development, the RSS too pinned its hope on a progressive roadmap for safeguarding Hinduism. The issue of religious conversion is at the heart of the work that many of the RSS outfits engaged in. A major factor for religious conversions in tribal areas and the northeast is the quality service provided by Christian missionaries. RSS members have often said that",central government,"narendra modi, amit shah","rss,bjp",anti
ef28f0d44ed2070bfe6f0901604133a32a68e74645552292f63773d086e08af6,2024-03-28,"Letters to The Editor — March 28, 2024","Employment scenario The India Employment Report 2024 that says unemployment among youth has increased from around 35.2% in 2000 to 66% in 2024 reveals the hollow promises of all governments. Political leaders/parties have hoodwinked people especially the youth. The much-lauded programmes with fancy names that are often talked about by the government at the Centre have done very little in terms of creating employment opportunities. The youth of India should be alert and diligent in casting their votes in the general election. M.C. Vijay, Chennai As a professor teaching in a college in Thiruvananthapuram which offers 12 under-graduate and seven post-graduate courses in diverse subjects, I must confess that the number of students who would come to my office and offer sweets and seek one’s blessings after getting a job has drastically reduced. Another index of a decline in job openings in both the formal and informal sector is by just going through the daily newspapers on Wednesday. Till a few years ago, the advertisement for job vacancies covered about four to six pages, and sometimes these pages were detached and sold by newspaper vendors at a premium price, for which there was a mad scramble among job seekers. The",central government,,,neutral
d0e9a960676d30f960b8d52b7cde0d624ec2d8dc9b8730350cab91b33d2842a6,2024-10-14,What Congress Must Do To Win Maharashtra,"Convert the Haryana result into a blessing in disguise; make the calamity into an opportunity. Maharashtra was always the big ticket game in town; MVA must win it. The Congress should shift headquarters to Mumbai for the entire month. Show urgency and a hunger to win, asserts Sanjay Jha. IMAGE: Congress President Mallikarjun Kharge with Congress leader Rahul Gandhi at the party headquarters in New Delhi. Photograph: Rahul Singh/ANI Photo Dear @rahulgandhi @kharge @jairamramesh Sub: The Importance of winning Maharashtra and Jharkhand A quick feedback following the disappointing result in Haryana, albeit the formation of the NC-INC government in Jammu and Kashmir is a big victory. 1. Although tactically losing Haryana is a bad blow (mostly self-inflicted like Chhattisgarh, MP and earlier Punjab), you can take comfort from the following: a. The vote-shares are identical to the BJP. b. Congress vote share went up by 40% from 2019. Congress struggled with the last mile finish; a proverbial essay on several occasions. It is like being first in a 100m race, and then stumbling at the 95m mark. Sometimes losing, like winning, can become a habit. This needs to be reversed asap. You have barely a month to effect a transformation.",,,bjp,neutral
