Sentence,Aspect Term,Polarity
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,Negative
Really like the textured surface which shows no fingerprints.,surface,Positive
The screen is bright and the keyboard is nice;,screen,Positive
The screen is bright and the keyboard is nice;,keyboard,Positive
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,Positive
But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,Positive
"High price tag, however.",price tag,Negative
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,Positive
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,Negative
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,Negative
It is easy to use and lightweight.,use,Positive
I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,Positive
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,Positive
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,Negative
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,Neutral
This laptop is a great price and has a sleek look.,price,Positive
This laptop is a great price and has a sleek look.,look,Positive
I especially like the keyboard which has chiclet type keys.,keyboard,Positive
I especially like the keyboard which has chiclet type keys.,keys,Positive
Small screen somewhat limiting but great for travel.,screen,Negative
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,Negative
"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,Negative
The gray color was a good choice.,gray color,Positive
I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,Negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,Negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,Negative
I bought a protector for my key pad and it works great :),protector,Positive
I bought a protector for my key pad and it works great :),key pad,Neutral
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,Positive
It seems they could have updated XP and done without creating Vista.,XP,Positive
It seems they could have updated XP and done without creating Vista.,Vista,Negative
"Â  It is easy to use, fast and has great graphics for the money.",graphics,Positive
"Â  It is easy to use, fast and has great graphics for the money.",use,Positive
I like how the Mac OS is so simple and easy to use.,Mac OS,Positive
I like how the Mac OS is so simple and easy to use.,use,Positive
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,Positive
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,Positive
only good thing is the graphics quality.,graphics quality,Positive
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,Negative
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,Negative
The paint wears off easily due to the keyboard being farther back than usual.,paint,Negative
The paint wears off easily due to the keyboard being farther back than usual.,keyboard,Negative
I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,Neutral
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,Positive
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrentys,Negative
I always use a backup hard disk to store important files at all times.,hard disk,Neutral
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive,Negative
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,Negative
But the screen size is not that bad for email and web browsing.,screen size,Positive
But the screen size is not that bad for email and web browsing.,web browsing,Positive
Once I removed all the software the laptop loads in 15-20 seconds.,software,Negative
Once I removed all the software the laptop loads in 15-20 seconds.,loads,Positive
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,Negative
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,external mouse,Positive
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,Negative
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,Negative
"Obviously one of the most important features of any computer is the ""human interface.",features,Positive
"Obviously one of the most important features of any computer is the ""human interface.",human interface,Positive
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",inbuilt applications,Negative
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,Negative
The body is a bit cheaply made so it will be interesting to see how long it holds up.,body,Negative
The i5 blows my desktop out of the water when it comes to rendering videos.,i5,Positive
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software,Positive
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",firewall,Positive
"Am very glad I bought it, great netbook, low price.",price,Positive
The Apple team also assists you very nicely when choosing which computer is right for you :),Apple team,Positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",operating system,Positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,video chat,Negative
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,quality,Negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",Fan,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",cooling pad,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",feature,Positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,Positive
Wasted me at least 8 hours of installation time.,installation time,Negative
"It has far exceeded my expectations for power, storage, and abilitiy.",power,Positive
"It has far exceeded my expectations for power, storage, and abilitiy.",storage,Positive
"It has far exceeded my expectations for power, storage, and abilitiy.",abilitiy,Positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,Positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,Positive
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,wireless system,Negative
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,Windows 7,Negative
I am enjoying it and the quality it provides is great!,quality,Positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",battery life,Positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",speed,Positive
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,Positive
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,Positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",iTunes,Positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",program,Positive
Mac is not made for gaming.,gaming,Negative
"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",battery,Negative
"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",Apple support,Positive
"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",techs,Positive
But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,Negative
I need graphic power to run my Adobe Creative apps efficiently.,graphic power,Neutral
I need graphic power to run my Adobe Creative apps efficiently.,Adobe Creative apps,Neutral
the programs are esay to use and are quick to process this computer works like a charm.,programs,Positive
the programs are esay to use and are quick to process this computer works like a charm.,use,Positive
The materials that came with the computer did not include the right # anywhere.,materials,Negative
It does not even have the software to play a dvd now.,software,Negative
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,Tech support,Neutral
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,power supply,Negative
HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,Negative
Sells for the same as a netbook without sacrificing size.,size,Positive
"Â  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,Neutral
"Windows XP SP2 caused many problems on the computer, so I had to remove it.",Windows XP SP2,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Windows 7 Ultimate,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Bluetooth,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Fingerprint reader,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",software,Negative
None of the techs at HP knew what they were doing.,techs at HP,Negative
"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.",video card,Negative
"With awesome graphics and assuring security, it's perfect!",graphics,Positive
"With awesome graphics and assuring security, it's perfect!",security,Positive
"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.",audio,Negative
I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard,Negative
It runs perfectly.,runs,Positive
The laptop was very easy to set up.,set up,Positive
Â  Sometimes the screen even goes black on this computer.,screen,Negative
I recommend for word processing and internet users.,word processing,Positive
I recommend for word processing and internet users.,internet,Positive
Since I've had this computer I've only used the trackpad because it is so nice and smooth.,trackpad,Positive
A longer battery life would have been great - but it meets it's spec quite easily.,battery life,Negative
A longer battery life would have been great - but it meets it's spec quite easily.,spec,Positive
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",HD,Positive
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",graphics chip,Positive
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",components,Negative
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",DVD burner,Positive
Its fast and another thing I like is that it has three USB ports.,USB ports,Positive
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,Negative
That system is fixed.,system,Positive
"The computer itself was fast, ran smoothly, and had no problems.",ran,Positive
Like the price and operation.,price,Positive
Like the price and operation.,operation,Positive
The brand is tarnished in my heart.,brand,Negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",components,Negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",ground loop isolator,Neutral
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",price range,Negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",quality,Negative
I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.,warranty,Neutral
