Sentence,Aspect Term,Polarity
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",programs,Neutral
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",Office,Neutral
It just works flawlessly!,works,Positive
"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",service center,Negative
I'm having the laptop returned unrepaired since paying $176 every 3  months just isn't worth it (that's about how long the port seems to  last).,port,Negative
Â  also the battery is completely shot.,battery,Negative
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system,Positive
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,grafics card,Positive
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,LED backlit screen,Positive
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,8GB RAM,Positive
The biggest problem is that the box had no instructions in it.,instructions,Negative
"But after using it a couple of weeks, the overall operation is poor.",operation,Negative
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",value,Positive
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",built,Positive
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",works,Positive
Screen is crystal clear and the system is very responsive.,Screen,Positive
Screen is crystal clear and the system is very responsive.,system,Positive
I will stack it up against laptops that cost twice as much any day.,cost,Positive
Or the cursor would show up some place else.,cursor,Negative
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,software,Neutral
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,operate,Positive
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,gadgets,Neutral
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",Windows,Negative
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",hard drive,Neutral
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",disk image,Neutral
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",track pad,Positive
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",track pad,Positive
"Â  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",disc drive,Neutral
"Â  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",drive,Neutral
"Â  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",drive,Neutral
"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",Appleworks,Negative
"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",word processing program,Negative
I already have a HP laptop I bought last year that's standard size.,size,Neutral
Battery is not upgradable to a longer life battery.,Battery,Negative
Battery is not upgradable to a longer life battery.,battery,Neutral
apple has a reputation and is well known for its easy usage.,usage,Positive
Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.,speaker grill,Negative
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",MacOSX,Positive
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",Windows 7,Neutral
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",dual-core,Positive
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",quad-core,Neutral
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.","22"" Monitor",Neutral
"Love the graphics, awesome programs (including Garageband), and really cool default background.",graphics,Positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",programs,Positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",Garageband,Positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",default background,Positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",Screen,Positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",keyboard,Positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",screen,Positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",island backlit keyboard,Positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",multi-touch mouse,Positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",mouse,Positive
The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,OS,Positive
The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,Windows,Neutral
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",iWork,Neutral
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",programs,Neutral
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",Microsoft Office,Neutral
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",word processing,Neutral
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",spreadsheets,Neutral
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",presentations,Neutral
"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.",runs,Positive
When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,warranty,Neutral
It also came with a built it web cam which is great because I can see an communicate with my family members back home.,built it web cam,Positive
Good monitor and performed well.,monitor,Positive
Good monitor and performed well.,performed,Positive
It was secure and easy to navigate.,navigate,Positive
"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,Positive
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,bluray player,Negative
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,book,Negative
They are by far the easiest systems to actually learn about computers with.,systems,Positive
this apple navigates you thru the unexplored world of the internet.,internet,Positive
"The video card is great for media, and above average for gaming, but not a gamers first choice.",video card,Positive
"The video card is great for media, and above average for gaming, but not a gamers first choice.",gaming,Positive
"The video card is great for media, and above average for gaming, but not a gamers first choice.",media,Positive
"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.",3 year warranty,Neutral
"Apparently there is a manufacturing defect, something with the amount of thermal paste.",thermal paste,Negative
Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.,internals,Neutral
Took several hours with customer support before I could even start the PC out of the box.,customer support,Negative
Asus facial recognition doesn't work and windows logon isn't either.,facial recognition,Negative
Asus facial recognition doesn't work and windows logon isn't either.,windows logon,Negative
Windows Vista makes this computer almost unusable for online service.,Windows Vista,Negative
Windows Vista makes this computer almost unusable for online service.,online service,Negative
"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you.",recovery DVDs,Positive
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,webcam,Neutral
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,keyboard,Neutral
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,carry,Positive
Can listen to my music and watch my videos with ease and with a great display.,display,Positive
